gutenberg_author_id,gutenberg_id,title,author,language,gutenberg_bookshelf,rights,has_text,birthdate,deathdate
30,36,The War of the Worlds,"Wells, H. G. (Herbert George)",en,Movie Books/Science Fiction,Public domain in the USA.,TRUE,1866,1946
30,8968,The World Set Free,"Wells, H. G. (Herbert George)",en,Science Fiction,Copyrighted. Read the copyright notice inside this book for details.,FALSE,1866,1946
30,8971,The Island of Doctor Moreau,"Wells, H. G. (Herbert George)",en,Movie Books/Science Fiction,Copyrighted. Read the copyright notice inside this book for details.,FALSE,1866,1946
30,159,The island of Doctor Moreau,"Wells, H. G. (Herbert George)",en,Science Fiction/Best Books Ever Listings/Movie Books,Public domain in the USA.,TRUE,1866,1946
30,60656,La guerre des mondes,"Wells, H. G. (Herbert George)",fr,FR Science fiction,Public domain in the USA.,FALSE,1866,1946
30,8978,When the Sleeper Wakes,"Wells, H. G. (Herbert George)",en,Science Fiction,Copyrighted. Read the copyright notice inside this book for details.,FALSE,1866,1946
30,1013,The First Men in the Moon,"Wells, H. G. (Herbert George)",en,Movie Books/Science Fiction,Public domain in the USA.,FALSE,1866,1946
30,11696,The Food of the Gods and How It Came to Earth,"Wells, H. G. (Herbert George)",en,Contemporary Reviews/Movie Books/Science Fiction,Public domain in the USA.,TRUE,1866,1946
30,11870,"The Country of the Blind, and Other Stories","Wells, H. G. (Herbert George)",en,Science Fiction,Public domain in the USA.,TRUE,1866,1946
30,12163,"The Sleeper Awakes
A Revised Edition of When the Sleeper Wakes","Wells, H. G. (Herbert George)",en,Science Fiction,Public domain in the USA.,FALSE,1866,1946
30,1743,Twelve Stories and a Dream,"Wells, H. G. (Herbert George)",en,Science Fiction,Public domain in the USA.,TRUE,1866,1946
30,12750,The Stolen Bacillus and Other Incidents,"Wells, H. G. (Herbert George)",en,Science Fiction,Public domain in the USA.,TRUE,1866,1946
30,6620,The Time Machine,"Wells, H. G. (Herbert George)",en,Science Fiction/Movie Books,Copyrighted. Read the copyright notice inside this book for details.,FALSE,1866,1946
30,775,When the Sleeper Wakes,"Wells, H. G. (Herbert George)",en,Science Fiction,Public domain in the USA.,TRUE,1866,1946
30,8976,The War of the Worlds,"Wells, H. G. (Herbert George)",en,Movie Books/Science Fiction,Copyrighted. Read the copyright notice inside this book for details.,FALSE,1866,1946
30,35,The Time Machine,"Wells, H. G. (Herbert George)",en,Movie Books/Science Fiction,Public domain in the USA.,FALSE,1866,1946
30,1059,The World Set Free,"Wells, H. G. (Herbert George)",en,Science Fiction,Public domain in the USA.,TRUE,1866,1946
30,456,"The Door in the Wall, and Other Stories","Wells, H. G. (Herbert George)",en,Science Fiction,Public domain in the USA.,FALSE,1866,1946
30,27365,Tales of Space and Time,"Wells, H. G. (Herbert George)",en,Science Fiction,Public domain in the USA.,TRUE,1866,1946
30,8972,The First Men in the Moon,"Wells, H. G. (Herbert George)",en,Science Fiction,Copyrighted. Read the copyright notice inside this book for details.,FALSE,1866,1946
35,42,The Strange Case of Dr. Jekyll and Mr. Hyde,"Stevenson, Robert Louis",en,Precursors of Science Fiction/Horror/Gothic Fiction/Movie Books,Public domain in the USA.,TRUE,1850,1894
35,43,The Strange Case of Dr. Jekyll and Mr. Hyde,"Stevenson, Robert Louis",en,Precursors of Science Fiction/Horror/Movie Books,Public domain in the USA.,FALSE,1850,1894
48,8766,The Chessmen of Mars,"Burroughs, Edgar Rice",en,Science Fiction,Copyrighted. Read the copyright notice inside this book for details.,FALSE,1875,1950
48,72,"Thuvia, Maid of Mars","Burroughs, Edgar Rice",en,Science Fiction,Public domain in the USA.,TRUE,1875,1950
48,123,At the Earth's Core,"Burroughs, Edgar Rice",en,Science Fiction,Public domain in the USA.,TRUE,1875,1950
48,553,Out of Time's Abyss,"Burroughs, Edgar Rice",en,Science Fiction,Public domain in the USA.,TRUE,1875,1950
48,96,The Monster Men,"Burroughs, Edgar Rice",en,Science Fiction,Public domain in the USA.,TRUE,1875,1950
48,551,The Land That Time Forgot,"Burroughs, Edgar Rice",en,Science Fiction,Public domain in the USA.,TRUE,1875,1950
48,552,The People That Time Forgot,"Burroughs, Edgar Rice",en,Science Fiction,Public domain in the USA.,TRUE,1875,1950
48,62,A Princess of Mars,"Burroughs, Edgar Rice",en,Best Books Ever Listings/Science Fiction,Public domain in the USA.,TRUE,1875,1950
48,8765,Pellucidar,"Burroughs, Edgar Rice",en,Science Fiction,Copyrighted. Read the copyright notice inside this book for details.,FALSE,1875,1950
48,68,The warlord of Mars,"Burroughs, Edgar Rice",en,Science Fiction,Public domain in the USA.,TRUE,1875,1950
48,8756,The Monster Men,"Burroughs, Edgar Rice",en,Science Fiction,Copyrighted. Read the copyright notice inside this book for details.,FALSE,1875,1950
48,369,The Outlaw of Torn,"Burroughs, Edgar Rice",en,Science Fiction,Public domain in the USA.,FALSE,1875,1950
48,1153,The Chessmen of Mars,"Burroughs, Edgar Rice",en,Science Fiction,Public domain in the USA.,TRUE,1875,1950
48,8759,The Lost Continent,"Burroughs, Edgar Rice",en,Science Fiction,Copyrighted. Read the copyright notice inside this book for details.,FALSE,1875,1950
48,545,At the Earth's Core,"Burroughs, Edgar Rice",en,Science Fiction,Public domain in the USA.,TRUE,1875,1950
