gutenberg_id,title,author,gutenberg_author_id,language,gutenberg_bookshelf,rights,has_text
35,The Time Machine,"Wells, H. G. (Herbert George)",30,en,Movie Books/Science Fiction,Public domain in the USA.,FALSE
36,The War of the Worlds,"Wells, H. G. (Herbert George)",30,en,Movie Books/Science Fiction,Public domain in the USA.,TRUE
42,The Strange Case of Dr. Jekyll and Mr. Hyde,"Stevenson, Robert Louis",35,en,Precursors of Science Fiction/Horror/Gothic Fiction/Movie Books,Public domain in the USA.,TRUE
43,The Strange Case of Dr. Jekyll and Mr. Hyde,"Stevenson, Robert Louis",35,en,Precursors of Science Fiction/Horror/Movie Books,Public domain in the USA.,FALSE
62,A Princess of Mars,"Burroughs, Edgar Rice",48,en,Best Books Ever Listings/Science Fiction,Public domain in the USA.,TRUE
64,The Gods of Mars,"Burroughs, Edgar Rice",48,en,Science Fiction,Public domain in the USA.,TRUE
68,The warlord of Mars,"Burroughs, Edgar Rice",48,en,Science Fiction,Public domain in the USA.,TRUE
72,"Thuvia, Maid of Mars","Burroughs, Edgar Rice",48,en,Science Fiction,Public domain in the USA.,TRUE
83,"From the Earth to the Moon; and, Round the Moon","Verne, Jules",60,en,Movie Books/Science Fiction,Public domain in the USA.,FALSE
84,"Frankenstein; Or, The Modern Prometheus","Shelley, Mary Wollstonecraft",61,en,Precursors of Science Fiction/Gothic Fiction/Movie Books/Science Fiction by Women,Public domain in the USA.,FALSE
86,A Connecticut Yankee in King Arthur's Court,"Twain, Mark",53,en,Precursors of Science Fiction/Arthurian Legends,Public domain in the USA.,TRUE
96,The Monster Men,"Burroughs, Edgar Rice",48,en,Science Fiction,Public domain in the USA.,TRUE
97,Flatland: A Romance of Many Dimensions,"Abbott, Edwin Abbott",64,en,Science Fiction/Mathematics,Public domain in the USA.,TRUE
123,At the Earth's Core,"Burroughs, Edgar Rice",48,en,Science Fiction,Public domain in the USA.,TRUE
126,The Poison Belt,"Doyle, Arthur Conan",69,en,Science Fiction,Public domain in the USA.,TRUE
139,The Lost World,"Doyle, Arthur Conan",69,en,Science Fiction,Public domain in the USA.,TRUE
149,The Lost Continent,"Burroughs, Edgar Rice",48,en,Science Fiction,Public domain in the USA.,FALSE
159,The island of Doctor Moreau,"Wells, H. G. (Herbert George)",30,en,Science Fiction/Best Books Ever Listings/Movie Books,Public domain in the USA.,TRUE
164,Twenty Thousand Leagues under the Sea,"Verne, Jules",60,en,Science Fiction,Public domain in the USA.,TRUE
201,Flatland: A Romance of Many Dimensions,"Abbott, Edwin Abbott",64,en,Science Fiction/Mathematics,Public domain in the USA.,TRUE
285,The Lost Continent,"Hyne, Charles John Cutcliffe Wright",4423,en,Science Fiction,Public domain in the USA.,TRUE
369,The Outlaw of Torn,"Burroughs, Edgar Rice",48,en,Science Fiction,Public domain in the USA.,FALSE
456,"The Door in the Wall, and Other Stories","Wells, H. G. (Herbert George)",30,en,Science Fiction,Public domain in the USA.,FALSE
545,At the Earth's Core,"Burroughs, Edgar Rice",48,en,Science Fiction,Public domain in the USA.,TRUE
551,The Land That Time Forgot,"Burroughs, Edgar Rice",48,en,Science Fiction,Public domain in the USA.,TRUE
552,The People That Time Forgot,"Burroughs, Edgar Rice",48,en,Science Fiction,Public domain in the USA.,TRUE
553,Out of Time's Abyss,"Burroughs, Edgar Rice",48,en,Science Fiction,Public domain in the USA.,TRUE
604,Gulliver of Mars,"Arnold, Edwin Lester",317,en,Fantasy/Science Fiction,Public domain in the USA.,TRUE
